                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.63766,                0.37694,                 1.0964,                0.99709,                    0.5,                 0.4975,                0.43168,                0.68079,                0.34289,                 1.1074,             0.00099013,             0.00099013,             0.00099013
                     65,                0.61945,                0.37314,                 1.0852,                0.99766,                    0.5,                 0.4975,                0.42778,                0.61335,                0.37916,                   1.08,               0.000986,               0.000986,               0.000986
                     66,                0.62532,                0.38446,                 1.0934,                0.99942,                    0.5,                 0.4975,                0.42135,                0.68244,                0.34698,                  1.123,             0.00098187,             0.00098187,             0.00098187
                     67,                0.61548,                 0.3715,                 1.0997,                0.99946,                    0.5,                 0.4975,                0.42706,                0.65899,                0.33128,                 1.1063,             0.00097775,             0.00097775,             0.00097775
                     68,                0.62779,                0.37193,                 1.0872,                 0.9994,                    0.5,                 0.4975,                0.41995,                0.69296,                0.34345,                 1.1492,             0.00097362,             0.00097362,             0.00097362
                     69,                0.59651,                0.36289,                 1.0707,                0.98985,                    0.5,                0.53655,                 0.4352,                0.71168,                0.35681,                 1.1501,              0.0009695,              0.0009695,              0.0009695
                     70,                0.61644,                 0.3645,                 1.0755,                0.98985,                    0.5,                0.49721,                 0.4319,                0.66926,                0.36214,                  1.124,             0.00096537,             0.00096537,             0.00096537
                     71,                0.60205,                0.35811,                 1.0764,                0.98948,                    0.5,                0.49721,                0.42626,                0.65942,                0.36681,                 1.1189,             0.00096125,             0.00096125,             0.00096125
                     72,                0.60268,                0.35016,                 1.0688,                0.99017,                    0.5,                 0.4975,                0.42431,                0.70594,                0.38747,                 1.1594,             0.00095712,             0.00095712,             0.00095712
                     73,                0.61444,                0.37651,                 1.0838,                0.99903,                    0.5,                 0.4975,                0.41918,                0.68927,                0.35424,                 1.1212,               0.000953,               0.000953,               0.000953
                     74,                0.60766,                0.37599,                 1.0866,                0.99018,                    0.5,                 0.4975,                0.41503,                 0.7047,                0.36552,                 1.1453,             0.00094887,             0.00094887,             0.00094887
                     75,                0.61072,                0.36442,                  1.095,                0.99944,                    0.5,                 0.4975,                0.43246,                0.67584,                0.39198,                 1.1097,             0.00094475,             0.00094475,             0.00094475
                     76,                0.59926,                0.36473,                 1.0702,                0.99945,                    0.5,                0.52676,                0.42469,                0.70919,                0.39586,                 1.1647,             0.00094062,             0.00094062,             0.00094062
                     77,                0.59122,                0.35457,                 1.0742,                0.99943,                    0.5,                 0.4975,                0.43031,                0.71316,                0.36135,                 1.1632,              0.0009365,              0.0009365,              0.0009365
                     78,                0.57864,                 0.3433,                 1.0729,                0.99941,                    0.5,                 0.4975,                0.41721,                 0.7314,                0.39256,                 1.1702,             0.00093238,             0.00093238,             0.00093238
                     79,                 0.6197,                0.35946,                 1.0861,                0.98967,                    0.5,                 0.4974,                0.43049,                0.61335,                0.37224,                 1.0656,             0.00092825,             0.00092825,             0.00092825
                     80,                0.57347,                 0.3423,                 1.0681,                0.99945,                    0.5,                 0.4975,                0.42721,                0.69046,                0.39022,                 1.1504,             0.00092413,             0.00092413,             0.00092413
                     81,                0.58046,                0.35389,                 1.0835,                 0.9901,                    0.5,                 0.4975,                0.42856,                0.65294,                0.34401,                 1.1071,                0.00092,                0.00092,                0.00092
                     82,                0.58969,                0.34302,                 1.0679,                0.99944,                    0.5,                 0.4975,                0.42273,                0.73325,                0.36242,                 1.1803,             0.00091588,             0.00091588,             0.00091588
                     83,                0.58584,                0.34387,                 1.0736,                0.99037,                0.49913,                 0.4974,                0.42162,                0.68954,                0.37239,                  1.146,             0.00091175,             0.00091175,             0.00091175
                     84,                0.58234,                0.33689,                 1.0514,                0.99943,                    0.5,                 0.4975,                0.41873,                0.67702,                0.35135,                 1.1059,             0.00090763,             0.00090763,             0.00090763
                     85,                0.57288,                0.34128,                 1.0525,                0.99947,                    0.5,                 0.4975,                0.43695,                0.69022,                0.35935,                 1.1148,              0.0009035,              0.0009035,              0.0009035
                     86,                 0.5825,                0.33747,                 1.0618,                0.99955,                    0.5,                 0.4975,                0.43355,                0.65173,                0.36281,                 1.0866,             0.00089938,             0.00089938,             0.00089938
                     87,                0.58186,                0.34758,                 1.0523,                0.99927,                    0.5,                 0.4975,                0.43229,                0.67813,                0.36189,                 1.1291,             0.00089525,             0.00089525,             0.00089525
                     88,                0.56747,                 0.3496,                 1.0453,                0.99005,                    0.5,                0.49721,                0.42345,                0.71036,                0.36452,                 1.1564,             0.00089112,             0.00089112,             0.00089112
                     89,                0.59505,                0.35191,                 1.0799,                0.99935,                 0.4902,                0.49731,                0.43556,                0.63732,                 0.3386,                 1.0908,               0.000887,               0.000887,               0.000887
                     90,                0.59002,                0.34553,                 1.0629,                0.99956,                    0.5,                 0.4975,                0.41948,                0.74753,                0.37196,                 1.1876,             0.00088288,             0.00088288,             0.00088288
                     91,                0.57832,                0.34405,                 1.0834,                0.99037,                0.49924,                 0.4974,                0.42828,                0.69099,                 0.3778,                 1.1395,             0.00087875,             0.00087875,             0.00087875
                     92,                0.57117,                0.32621,                 1.0653,                0.49938,                    0.5,                 0.4975,                0.42189,                 0.6942,                0.35015,                 1.1503,             0.00087462,             0.00087462,             0.00087462
                     93,                0.57288,                0.34345,                 1.0527,                0.99866,                    0.5,                 0.4975,                0.42281,                0.68254,                 0.3561,                 1.1175,              0.0008705,              0.0008705,              0.0008705
                     94,                0.57347,                0.33897,                 1.0717,                0.99123,                    0.5,                 0.4975,                0.43274,                0.64976,                0.36434,                  1.091,             0.00086637,             0.00086637,             0.00086637
                     95,                0.54012,                0.31973,                  1.051,                0.99938,                    0.5,                 0.4975,                0.42077,                0.69609,                0.36485,                 1.1551,             0.00086225,             0.00086225,             0.00086225
                     96,                0.54998,                0.32386,                 1.0351,                0.99942,                    0.5,                 0.4975,                0.42829,                0.71833,                0.40017,                 1.1783,             0.00085813,             0.00085813,             0.00085813
                     97,                0.56034,                0.33967,                 1.0638,                 0.9994,                    0.5,                 0.4975,                0.43256,                0.69181,                0.35753,                 1.1242,               0.000854,               0.000854,               0.000854
                     98,                0.55276,                0.32796,                 1.0386,                0.99943,                    0.5,                 0.4975,                 0.4234,                0.73748,                0.36949,                 1.1767,             0.00084988,             0.00084988,             0.00084988
                     99,                0.56451,                0.33226,                 1.0683,                0.99944,                    0.5,                 0.4975,                0.42769,                0.71043,                0.39335,                 1.1413,             0.00084575,             0.00084575,             0.00084575
                    100,                0.54245,                  0.319,                 1.0425,                      1,                0.49939,                 0.4975,                0.43187,                 0.6705,                0.37123,                 1.1516,             0.00084162,             0.00084162,             0.00084162
                    101,                0.56649,                0.34152,                 1.0532,                0.49006,                 0.4902,                0.49405,                0.42719,                0.69771,                0.38269,                 1.1492,              0.0008375,              0.0008375,              0.0008375
                    102,                0.52696,                0.31405,                 1.0399,                 0.9899,                    0.5,                 0.4975,                0.41774,                0.71628,                0.40224,                 1.1918,             0.00083337,             0.00083337,             0.00083337
                    103,                 0.5715,                0.33295,                 1.0535,                0.99905,                    0.5,                 0.4975,                0.42586,                0.72045,                0.33705,                 1.1565,             0.00082925,             0.00082925,             0.00082925
                    104,                0.55722,                0.33734,                 1.0518,                0.99874,                    0.5,                 0.4975,                0.42766,                0.66399,                0.34677,                 1.1314,             0.00082513,             0.00082513,             0.00082513
                    105,                0.53376,                0.31388,                  1.034,                0.98964,                 0.4902,                0.49179,                0.42024,                0.67387,                0.32539,                 1.1442,               0.000821,               0.000821,               0.000821
                    106,                0.53486,                0.32115,                 1.0534,                0.99671,                    0.5,                 0.4975,                0.42345,                0.70928,                0.35135,                 1.1936,             0.00081688,             0.00081688,             0.00081688
                    107,                0.54977,                0.33583,                 1.0467,                0.99939,                    0.5,                 0.4975,                0.42666,                0.67659,                0.35923,                 1.1529,             0.00081275,             0.00081275,             0.00081275
                    108,                0.52585,                 0.3248,                  1.033,                0.99914,                    0.5,                 0.4975,                0.44039,                0.66109,                0.35905,                 1.0841,             0.00080863,             0.00080863,             0.00080863
                    109,                0.52846,                0.31046,                 1.0432,                0.98916,                    0.5,                 0.4975,                0.41948,                  0.633,                0.34168,                 1.1007,              0.0008045,              0.0008045,              0.0008045
                    110,                0.53987,                0.31726,                 1.0527,                0.99001,                    0.5,                 0.4974,                0.42645,                0.70566,                0.38011,                 1.1439,             0.00080038,             0.00080038,             0.00080038
                    111,                0.52407,                0.31887,                 1.0269,                0.99941,                    0.5,                 0.4975,                0.42749,                 0.6692,                0.36192,                 1.1139,             0.00079625,             0.00079625,             0.00079625
                    112,                 0.5183,                0.31327,                 1.0285,                0.99946,                    0.5,                 0.4975,                  0.435,                0.67523,                0.39237,                 1.1067,             0.00079213,             0.00079213,             0.00079213
                    113,                 0.5257,                0.30807,                 1.0323,                0.99943,                    0.5,                 0.4975,                0.42595,                0.64668,                0.37963,                 1.1128,               0.000788,               0.000788,               0.000788
                    114,                0.52562,                0.31252,                 1.0409,                0.99929,                    0.5,                 0.4975,                0.42098,                0.68592,                0.39077,                 1.1594,             0.00078387,             0.00078387,             0.00078387
                    115,                0.52334,                0.31809,                 1.0335,                0.99944,                    0.5,                 0.4975,                 0.4282,                0.67121,                 0.3734,                 1.1172,             0.00077975,             0.00077975,             0.00077975
                    116,                0.50894,                 0.2996,                 1.0193,                0.99482,                    0.5,                 0.4975,                0.42894,                0.68456,                 0.4011,                 1.1488,             0.00077563,             0.00077563,             0.00077563
                    117,                0.51626,                0.30259,                 1.0279,                0.98983,                    0.5,                0.49721,                0.43361,                0.64284,                0.34917,                 1.0866,              0.0007715,              0.0007715,              0.0007715
                    118,                0.50069,                0.29299,                 1.0228,                0.99942,                    0.5,                 0.4975,                0.43096,                 0.6486,                0.35645,                 1.1068,             0.00076738,             0.00076738,             0.00076738
                    119,                0.51751,                0.30434,                 1.0365,                0.99943,                    0.5,                 0.4975,                0.41948,                0.70174,                0.39444,                 1.1789,             0.00076325,             0.00076325,             0.00076325
                    120,                0.52196,                0.30759,                 1.0297,                0.99003,                    0.5,                 0.4975,                0.42885,                0.64579,                0.36084,                 1.0839,             0.00075912,             0.00075912,             0.00075912
                    121,                0.51353,                0.30995,                  1.018,                0.99948,                    0.5,                 0.4975,                0.42602,                0.70019,                0.35846,                   1.19,               0.000755,               0.000755,               0.000755
                    122,                 0.5281,                0.31114,                  1.046,                0.99946,                    0.5,                 0.4975,                0.41498,                0.72524,                0.35416,                 1.2071,             0.00075088,             0.00075088,             0.00075088
                    123,                0.52271,                0.31427,                 1.0284,                0.99946,                    0.5,                 0.4975,                0.42939,                0.64706,                0.36437,                 1.1399,             0.00074675,             0.00074675,             0.00074675
